Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,Терр. огр.  Рощинской ул. Цветочной ул. продолжением Иркутской ул. полосой отвода ж.д.,Московский,936,07.10.2014,1.4,13393
4. Постановление Правительства СПб. об утверждении,"Терр. огр. перспективной пробивкой Суздальского ш., перспективной магистралью, береговой линией  реки ",Приморский,1062,25.11.2014,76.7,13573
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Дальневосточным пр., ул.Дыбенко, Октябрьской наб., проектируемым проездом",Невский,1064,25.11.2014,45.4,13574
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная береговой линией р. М. Ижорки, перспективной магистралью, полосой отвода Октя",Колпинский,1065,25.11.2014,107.9,13575
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Ольгинской дорогой, проектируемой улицей, 3-м Верхним пер., границей территориальной зоны """,Выборгский,1074,26.11.2014,43.2,13576
4. Постановление Правительства СПб. об утверждении,"Терр. огр. береговой линией р.Утки, границей функциональной зоны ПД, Приневской ул., полосой отвода же",Невский,1076,26.11.2014,61.9,13577
4. Постановление Правительства СПб. об утверждении,Терр. огр. ул. Руставели перспективным продолжением Северного пр. полосой отвода ж.д. межквартальным п,Калининский,1063,25.11.2014,17.6,13578
4. Постановление Правительства СПб. о внес. изменений,"Терр. огр. изменения в проект планировки территории, ограниченной Московским пр., наб. Обводного кан.,",Московский,1085,02.12.2014,18.1,13613
4. Постановление Правительства СПб. об утверждении,"Терр. огр. пр. Маршала Блюхера, Лабораторным пр., Бестужевской ул., перспективным продолжением Бестуже",Калининский,1086,02.12.2014,106.6,13631
4. Постановление Правительства СПб. об утверждении,"Терр. огр. продолжением Грибной ул., Левашовским шоссе, продолжением Приозерной ул., проектируемой ул.",Курортный,1126,16.12.2014,26.4,13655
4. Постановление Правительства СПб. об утверждении,"Терр. огр.  пр Славы, ул. Бухарестской,  Альпийским пер., ул. Будапештской",Фрунзенский,1127,16.12.2014,33.8,13677
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Приморским шоссе границами водных объектов (Быстрого ручья, 8-го ручья) административной гр",Курортный,1128,16.12.2014,35.3,13678
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Гатчинским ш., Красногородской ул., проектируемой магистралью,",Красносельский,1129,16.12.2014,42.7,13679
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Аптекарским пр, Аптекарской наб., ул. Профессора Попова,. Инструментальной ул.",Петроградский,1130,16.12.2014,8.3,13680
4. Постановление Правительства СПб. об утверждении,"Терр. огр. ул. Литке, Цитадельским ш., границей функциональной  зоны ""РЗ"".береговой линией Невской Губ",Кронштадтский,1131,16.12.2014,65.6,13681
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Полевой ул., Дубковским шоссе,  Дубковским пер., Зарубинским проездом",Курортный,1144,18.12.2014,2.3,13682
4. Постановление Правительства СПб. об утверждении,"Терр. огр. ул.Одоевского, Уральской ул., наб.реки Смоленки, межквартальным проездом, в",Василеостровский,1146,18.12.2014,20.8,13683
4. Постановление Правительства СПб. об утверждении,"Санкт-Петербург, территория,ограниченная пр. Александровской Фермы,проектируемым проездом,Тихой ул.,пр",Невский,1155,18.12.2014,9.3,13684
4. Постановление Правительства СПб. об утверждении,Терр. огр. базисного квартала 7723В (северо-западнее пересечения Волхонского и Пулковского шоссе),Московский,1156,18.12.2014,508.77,13685
4. Постановление Правительства СПб. об утверждении,"Терр. квартала 75 б и 74 г, ограниченного пр.Королева, проектируемой ул., проектным продолжением Нижне",Приморский,1186,18.12.2014,24.9,13686
4. Постановление Правительства СПб. об утверждении,"Терр. огр. пр. Буденного, границами территориальных зон ТД-2_2, ТР2, ТР4, ТЗЖ2, проектируемой улицей, ",Красносельский,1187,18.12.2014,156.5,13687
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Пискаревским пр., перспективной пробивкой Северного пр. , Ручьевской дорогой",Красногвардейский,1188,18.12.2014,41.6,13688
4. Постановление Правительства СПб. о внес. изменений,"Терр. огр. Московским пр., наб.Обводного кан., полосой отвода Балтийской линии Октябрьской железной до",Московский,1189,18.12.2014,24.9,13689
4. Постановление Правительства СПб. об утверждении,"Терр. огр. 1-м Муринским пр., линией отвода ж.д., ул.Капитана Воронина, Большим Сампсониевским пр.",Выборгский,1190,18.12.2014,4.8,13690
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Пулковским шоссе, проектируемыми проездами,",Московский,1156,18.12.2014,14.8,13721
4. Постановление Правительства СПб. о внес. изменений,"Терр. огр. территории Невской Губы Финского залива западнее Васильевского острова, ограниченной ЗСД, г",Василеостровский,1224,22.12.2014,480.7,13723
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Герасимовской ул., ул. Замшина, пр. М. Блюхера, Кондратьевским пр.,",Калининский,1223,22.12.2014,34.9,13724
4. Постановление Правительства СПб. об утверждении,"ограниченная Шуваловским пр., Парашютной ул., перспективным проездом и пр Королева",Приморский,1222,22.12.2014,31.7,13725
4. Постановление Правительства СПб. о внес. изменений,"Терр. огр. расположенной в створе Таллинской ул., береговой линией реки Невы,",Красногвардейский,1221,22.12.2014,0.9,13726
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Дальневосточным  пр., ул.Антонова-Овсеенко, Искровским пр., ул.Дыбенко",Невский,1218,22.12.2014,32.8,13727
4. Постановление Правительства СПб. об утверждении,"Терр. огр. пр.Шаумяна, Республиканской ул., Новочеркасским пр., проектируемым продолжением ул. Помялов",Красногвардейский,1212,22.12.2014,20.7,13728
4. Постановление Правительства СПб. об утверждении,"Терр. огр. границей земельного участка с кад.№ 78:38:11229Б:1,береговой линией Водосливного канала, ул",Приморский,1296,29.12.2014,860,13742
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Дальневосточным пр. ул. Дыбенко, Октябрьской наб. ,ул. Крыленко",Невский,1281,29.12.2014,58.9,13743
4. Постановление Правительства СПб. об утверждении,"Терр. огр.  проектным продолжением Глухарской ул, проектным продолжением Комендантского пр., границей ",Приморский,1280,29.12.2014,12.5,13744
4. Постановление Правительства СПб. об утверждении,"Терр. огр. трассой Западного скоростного диаметра, Приморским пр., створом Стародеревенской ул., берег",Приморский,1225,22.12.2014,27.3,13745
4. Постановление Правительства СПб. об утверждении,"Терр. огр. пр. Обуховской Обороны, Общественным пер., береговой линией р. Невы, проектируемым проездом",Невский,1219,22.12.2014,5.9,13746
4. Постановление Правительства СПб. об утверждении,"Терр. огр. пр. Обуховской Обороны, проектируемым проездом, береговой линией р. Невы, границей территор",Невский,1217,22.12.2014,25.1,13747
4. Постановление Правительства СПб. об утверждении,Терр. огр. пр. Тореза Дрезденской ул. межквартальным проездом Манчестерской ул. пр. Энгельса,Выборгский,1215,22.12.2014,112.1,13748
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Смольным пр., Синопской наб., Тульской ул., ул. Бонч-Бруевича",Центральный,1214,22.12.2014,6.3,13749
4. Постановление Правительства СПб. об утверждении,"Терр. огр. пр. Королева, Плесецкой ул., проектируемым проездом, береговой линией реки Каменки",Приморский,1213,22.12.2014,169.4,13750
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Дунайским пр., М. Балканской ул., ул. Олеко Дундича, Балканской ул. во Фрунзенском районе С",Фрунзенский,144,17.02.2015,11.8,13872
4. Постановление Правительства СПб. об утверждении,"Терр. огр. наб. Обводного канала, Лиговским пр., Курской ул., Воронежской ул.",Фрунзенский,143,17.02.2015,6,13873
4. Постановление Правительства СПб. об утверждении,Терр. огр.  пер. Слепушкина ул. Тепловозной продолжением Караваевского пер. полосой отвода ж.д. берего,Невский,145,17.02.2015,68.5,13877
4. Постановление Правительства СПб. о внес. изменений,"Терр. огр. изменения   в проект планировки и межевания  территории квартала 24-27 района Полюстрово, в",Калининский,215,24.02.2015,49.23,13913
4. Постановление Правительства СПб. об утверждении,"Терр. огр. ул. Победы, Полигонным пер., проектируемым продолжением Ораниенбаумского пр.. проектируемой",Петродворцовый,213,24.02.2015,32.62,13914
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Приморским шоссе, ул.Володарского, ул.Пограничников, набережной р.Сестры, продолжением ул.Б",Курортный,214,24.02.2015,33.46,13916
4. Постановление Правительства СПб. об утверждении,"Терр. огр. Бестужевской ул., Екатерининским пр, пр. Маршала  Блюхера, Пискаревским пр.",Красногвардейский,216,24.02.2015,45.5,13917
