Тип документа,Адрес,Район,Номер распоряжения,Дата распоряжения,Площадь,Идентификатор
4. Постановление Правительства СПб. об утверждении,"квартал 36-Б р-на оз. Долгое, ограниченный ул. Оптиков, ул. Стародеревенской, ул. Ситцевой, техническо",Приморский,228,24.02.2009,6,4280
4. Постановление Правительства СПб. о внес. изменений,"территория, ограниченная ул. Руставели, Токсовской ул., Муринским ручьем, ж/д Приозерского направления",Калининский,1705,25.12.2007,4.9,4281
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Салова, Бухарестской ул. и проектируемыми проездами",Фрунзенский,751,23.06.2009,16.7,4285
4. Постановление Правительства СПб. об утверждении," ограниченная с юга - Граничной ул.,с запада - проектируемой магистралью, с севера - границей Курортно",Приморский,288,17.03.2009,483.1,4302
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная ул. Крылова, Санкт-Петербургским шоссе, ручьем без названия и береговой линие",Петродворцовый,505,27.04.2010,115.8,4303
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Садовой ул., ул. Анны Зеленовой, Партизанским пер., перспективной пробивкой П",Пушкинский,863,29.06.2010,19.6,4304
4. Постановление Правительства СПб. об утверждении,"ограниченная Большим пр., административной границей между Санкт-Петербургом и Ленинградской областью, ",Курортный,519,27.04.2010,66.2,4310
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Рыбацким пр., устьем р.Славянки, акваторией р.Невы, проектируемым проездом",Невский,1280,23.09.2010,13.8,4311
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Московским шоссе, проездом вдоль железной дороги, границей функциональной зон",Пушкинский,1604,16.12.2008,209,4319
4. Постановление Правительства СПб. об утверждении,"ограниченная Малой Карпатской ул., Дунайским пр., Карпатской ул., ул. Олеко Дундича",Фрунзенский,133,01.02.2011,11.9,4322
4. Постановление Правительства СПб. об утверждении,"ограниченная Сердобольской ул., Студенческой ул., Белоостровской ул., Земледельческой ул. и проектируе",Приморский,929,04.08.2009,35.9,4327
4. Постановление Правительства СПб. об утверждении,"ограниченная Северным пр.,ул.Вавиловых,ул. Академика Байкова,Светлановским пр.",Калининский,528,23.07.2013,15.6,4336
4. Постановление Правительства СПб. об утверждении,"ограниченная Ленинским пр., ул. Десантников, ул. Маршала Захарова, Брестским бульваром",Красносельский,1004,27.07.2010,7.1,4339
4. Постановление Правительства СПб. об утверждении,"расположенная в створе Таллинской ул., ограниченная береговой линией реки Нева",Красногвардейский,752,23.06.2009,2.2,4354
4. Постановление Правительства СПб. об утверждении,"ограниченная Заводским пр., проектным продолжением Пролетарской ул., ул. Машиностроителей, администрат",Колпинский,1164,30.10.2012,19.4,4368
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Кораблестройтелей, проектным продолжением Новосмоленской наб. и рекой Смоленкой",Василеостровский,1224,13.09.2010,4.6,4374
4. Постановление Правительства СПб. об утверждении,"территория, ограниченная ул. Михайлова, ул. Комсомола, Арсенальной ул. и Арсенальной наб.",Калининский,1317,11.12.2012,14.2,4376
4. Постановление Правительства СПб. об утверждении," ограниченная Северным проездом, Центральным проездом, дорогой в Металлострой, в пос. Металлострой  (п",Колпинский,126,03.02.2009,106.3,4380
4. Постановление Правительства СПб. об утверждении,"кв. 9А района Севернее улицы Новоселов (СУН), ограниченный ул. Коллонтай, ул. Белышева, ул. Подвойског",Невский,928,04.08.2009,23.9,4391
4. Постановление Правительства СПб. об утверждении,"ограниченная проектными красными линиями ул. Пилотов, Взлетной ул.,проектными красными линиями Дачного",Московский,704,10.06.2008,22.8,4392
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Бабушкина, ул. Ольги Берггольц, пр. Обуховской Обороны, ул. Ткачей",Невский,337,22.03.2011,13.3,4406
4. Постановление Правительства СПб. об утверждении,"квартал 38А района Севернее Муринского ручья (СМР), ограниченная Тимуровской ул., ул. Ольги Форш, пр. ",Калининский,1065,25.12.2013,17.7,4408
4. Постановление Правительства СПб. об утверждении,"ограниченная Крестовским пр., Спортивной ул., берегом р.Малая Невка, проектируемым проездом от р.Малая",Петроградский,1665,07.12.2010,19.7,4415
4. Постановление Правительства СПб. об утверждении,"ограниченная Бухарестской ул., Южным шоссе, Софийской ул., ул. Димитрова",Фрунзенский,1287,23.09.2010,122.3,4422
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Средним пр. В.О., ул. Репина, Большим пр. В.О., 2-й линией В.О.",Василеостровский,507,27.04.2010,4.2,4429
4. Постановление Правительства СПб. об утверждении,"ограниченная ул. Лермонтова, ул. Массальского, пр. Ленина, Гвардейской ул.",Красносельский,1005,27.07.2010,9.3,4431
4. Постановление Правительства СПб. об утверждении,"Территория, ограниченная Коломяжским пр., пр. Испытателей, границей территории объекта культурного нас",Приморский,509,27.04.2010,16.1,4433
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Косыгина, ул. Коммуны, Ленской ул., Белорусской ул.",Красногвардейский,1007,27.07.2010,7.3,4436
4. Постановление Правительства СПб. об утверждении,"ограниченная Барочной ул., ул. Профессора Попова, ул. Даля, наб.р.Карповки",Петроградский,1754,21.12.2010,3,4444
4. Постановление Правительства СПб. об утверждении,"территория севернее лесопарка ""Ново-Орловский"", ограниченная персп. продолжением Суздальского пр., про",Приморский,867,17.07.2007,279.9,4455
4. Постановление Правительства СПб. об утверждении,"прооизводственная зона ""Рыбацкое""",Невский,1288,23.09.2010,374.4,4460
4. Постановление Правительства СПб. об утверждении,"Территория производственной зоны ""Обухово""",Фрунзенский,1339,05.10.2010,281.7,4461
4. Постановление Правительства СПб. об утверждении,"ограниченная пр. Обуховской Обороны, ул. Профессора Качалова, Зеркальным пер., Мельничной ул.",Невский,374,15.04.2010,8.5,4466
4. Постановление Правительства СПб. об утверждении, кварталов 28 и 28А Юго-Западной Приморской части (участок 3 и 4  северо-западнее пересечения ул. Добл,Красносельский,1282,23.09.2010,30.1,4472
4. Постановление Правительства СПб. об утверждении,"Красное Село, Гатчинское шоссе (сечеро-восточнее пересечения Гатчинского шоссе и Красногородской ул.),",Красносельский,1671,29.12.2008,35.6,4479
